iter	Passed	Remaining
715	20976	8320
716	21001	8289
717	21026	8258
718	21052	8227
719	21077	8196
720	21101	8165
721	21126	8134
722	21150	8103
723	21174	8072
724	21199	8041
725	21263	8024
726	21293	7995
727	21334	7971
728	21356	7939
729	21380	7907
730	21403	7876
731	21426	7844
732	21450	7813
733	21477	7783
734	21503	7752
735	21528	7722
736	21560	7694
737	21595	7666
738	21622	7636
739	21647	7605
740	21689	7580
741	21722	7553
742	21755	7525
743	21790	7497
744	21826	7470
745	21851	7440
746	21877	7409
747	21902	7379
748	21927	7348
749	21952	7317
750	21976	7286
751	22009	7258
752	22035	7228
753	22060	7197
754	22085	7166
755	22119	7139
756	22144	7108
757	22169	7077
758	22195	7047
759	22220	7016
760	22244	6986
761	22270	6955
762	22337	6938
763	22382	6913
764	22409	6883
765	22437	6854
766	22461	6823
767	22484	6792
768	22509	6761
769	22533	6730
770	22557	6699
771	22582	6669
772	22606	6638
773	22632	6608
774	22671	6582
775	22696	6551
776	22721	6521
777	22749	6491
778	22782	6463
779	22818	6436
780	22857	6409
781	22893	6382
782	22919	6351
783	22943	6321
784	22973	6292
785	22997	6261
786	23021	6230
787	23045	6199
788	23070	6169
789	23095	6139
790	23119	6108
791	23156	6081
792	23181	6051
793	23205	6020
794	23230	5990
795	23268	5963
796	23303	5935
797	23338	5907
798	23410	5889
799	23448	5862
800	23479	5833
801	23503	5802
802	23529	5772
803	23554	5742
804	23579	5711
805	23603	5681
806	23627	5650
807	23651	5620
808	23675	5589
809	23700	5559
810	23726	5529
811	23751	5499
812	23777	5469
813	23805	5439
814	23833	5409
815	23864	5381
816	23896	5352
817	23925	5323
818	23963	5296
819	23989	5266
820	24014	5235
821	24039	5205
822	24064	5175
823	24101	5147
824	24126	5117
825	24151	5087
826	24176	5057
827	24202	5027
828	24236	4999
829	24260	4969
830	24284	4938
831	24307	4908
832	24333	4878
833	24369	4850
834	24392	4819
835	24424	4791
836	24495	4770
837	24529	4741
838	24561	4713
839	24586	4683
840	24610	4652
841	24639	4623
842	24679	4596
843	24704	4566
844	24729	4536
845	24754	4506
846	24795	4478
847	24820	4448
848	24852	4420
849	24877	4390
850	24901	4360
851	24934	4331
852	24970	4303
853	25002	4274
854	25079	4253
855	25105	4223
856	25129	4193
857	25154	4163
858	25193	4135
859	25217	4105
860	25254	4077
861	25280	4047
862	25306	4017
863	25331	3987
864	25356	3957
865	25380	3927
866	25406	3897
867	25434	3867
868	25454	3837
869	25480	3807
870	25553	3784
871	25586	3755
872	25611	3725
873	25635	3695
874	25676	3668
875	25721	3640
876	25746	3611
877	25785	3582
878	25810	3552
879	25835	3523
880	25862	3493
881	25887	3463
882	25912	3433
883	25938	3403
884	25958	3373
885	25982	3343
886	26016	3314
887	26053	3286
888	26087	3257
889	26125	3228
890	26169	3201
891	26197	3171
892	26222	3141
893	26247	3112
894	26271	3082
895	26295	3052
896	26320	3022
897	26354	2993
898	26378	2963
899	26403	2933
900	26428	2903
901	26453	2874
902	26478	2844
903	26503	2814
904	26528	2784
905	26607	2760
906	26640	2731
907	26665	2701
908	26690	2671
909	26715	2642
910	26746	2612
911	26771	2583
912	26807	2554
913	26831	2524
914	26855	2494
915	26880	2464
916	26905	2435
917	26930	2405
918	26961	2376
919	26985	2346
920	27007	2316
921	27031	2286
922	27060	2257
923	27115	2230
924	27162	2202
925	27209	2174
926	27241	2145
927	27274	2116
928	27307	2087
929	27341	2057
930	27370	2028
931	27395	1998
932	27420	1969
933	27454	1940
934	27487	1910
935	27528	1882
936	27562	1853
937	27592	1823
938	27617	1794
939	27729	1769
940	27762	1740
941	27791	1711
942	27822	1681
943	27851	1652
944	27884	1622
945	27917	1593
946	27947	1564
947	27977	1534
948	28006	1505
949	28036	1475
950	28065	1446
951	28102	1416
952	28130	1387
953	28158	1357
954	28207	1329
955	28246	1300
956	28282	1270
957	28321	1241
958	28354	1212
959	28388	1182
960	28421	1153
961	28452	1123
962	28498	1094
963	28529	1065
964	28558	1035
965	28591	1006
966	28625	976
967	28659	947
968	28691	917
969	28721	888
970	28875	862
971	28911	832
972	28945	803
973	28977	773
974	29008	743
975	29041	714
976	29072	684
977	29100	654
978	29136	625
979	29168	595
980	29200	565
981	29234	535
982	29264	506
983	29298	476
984	29332	446
985	29367	416
986	29403	387
987	29447	357
988	29475	327
989	29507	298
990	29537	268
991	29565	238
992	29598	208
993	29631	178
994	29665	149
995	29698	119
996	29730	89
997	29761	59
998	29794	29
999	29825	0
